TEAM_1,OPPONENT,OUTCOME,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,PTS_2,FGM_2,FGA_2,FG%_2,3PM_2,3PA_2,3P%_2,FTM_2,FTA_2,FT%_2,OREB_2,DREB_2,REB_2,AST_2,STL_2,BLK_2,TOV_2,PF_2,differential_2
CHI,MIN,W,240,109,42,80,52.5,17,29,58.6,8,12,66.7,8,35,43,30,11,3,16,18,8,101,38,81,46.9,11,37,29.7,14,21,66.7,8,29,37,28,12,5,14,10,-8
TOR,PHI,L,240,120,47,90,52.2,11,30,36.7,15,20,75,7,23,30,31,10,2,12,14,-15,135,49,83,59,24,43,55.8,13,16,81.3,9,30,39,28,6,10,16,17,15
NOP,BOS,L,240,92,34,86,39.5,13,35,37.1,11,18,61.1,10,31,41,22,9,3,9,12,-12,104,39,82,47.6,15,37,40.5,11,12,91.7,8,43,51,27,7,7,13,13,12
ORL,MEM,W,240,118,38,78,48.7,22,44,50,20,23,87,5,38,43,28,8,8,17,16,30,88,31,86,36,12,36,33.3,14,17,82.4,13,32,45,25,11,7,19,19,-30
ATL,MIL,L,240,113,42,92,45.7,14,35,40,15,18,83.3,9,30,39,24,5,3,11,26,-9,122,43,78,55.1,8,28,28.6,28,35,80,6,34,40,27,7,5,12,18,9
WAS,DET,L,240,87,36,88,40.9,9,33,27.3,6,8,75,9,38,47,22,2,4,19,18,-9,96,37,89,41.6,6,24,25,16,20,80,8,39,47,19,9,5,13,18,9
ORL,LAC,L,240,97,38,86,44.2,10,29,34.5,11,15,73.3,13,25,38,20,10,8,17,11,-3,100,41,85,48.2,8,24,33.3,10,12,83.3,12,29,41,19,11,4,17,17,3
LAL,IND,L,240,90,35,86,40.7,5,30,16.7,15,18,83.3,10,38,48,24,3,3,16,14,-19,109,43,89,48.3,10,31,32.3,13,14,92.9,6,40,46,27,8,6,10,14,19
CHA,GSW,L,240,97,34,84,40.5,12,46,26.1,17,24,70.8,12,29,41,23,4,2,11,10,-18,115,48,89,53.9,11,32,34.4,8,9,88.9,11,39,50,35,7,5,13,19,18
DAL,SAC,W,240,107,35,74,47.3,15,35,42.9,22,33,66.7,6,36,42,24,4,6,10,12,4,103,40,92,43.5,15,32,46.9,8,12,66.7,10,35,45,24,9,1,11,22,-4
HOU,UTA,W,240,101,35,91,38.5,13,42,31,18,28,64.3,15,30,45,19,10,6,10,18,1,100,37,80,46.3,8,31,25.8,18,19,94.7,11,40,51,23,4,9,21,23,-1
MIN,DEN,W,240,111,38,74,51.4,9,28,32.1,26,37,70.3,6,33,39,28,6,7,9,20,13,98,35,88,39.8,8,28,28.6,20,27,74.1,13,33,46,29,6,1,13,24,-13
NYK,SAS,L,265,126,51,110,46.4,14,37,37.8,10,12,83.3,18,32,50,24,10,1,12,24,-4,130,44,82,53.7,16,40,40,26,32,81.3,8,38,46,34,3,2,15,16,4
POR,MIA,L,240,82,35,87,40.2,5,30,16.7,7,11,63.6,10,33,43,20,4,2,24,19,-60,142,54,92,58.7,21,39,53.8,13,18,72.2,6,38,44,41,17,4,9,13,60
PHX,OKC,L,240,103,39,87,44.8,13,41,31.7,12,15,80,13,26,39,26,6,6,14,15,-25,128,49,87,56.3,16,30,53.3,14,14,100,7,31,38,33,7,7,11,13,25
CLE,PHI,W,240,117,45,82,54.9,16,37,43.2,11,13,84.6,5,32,37,34,4,3,14,17,3,114,42,94,44.7,16,40,40,14,17,82.4,16,26,42,28,6,7,9,20,-3
BKN,CHI,W,240,125,43,91,47.3,25,44,56.8,14,22,63.6,12,31,43,26,9,3,7,22,17,108,38,75,50.7,9,30,30,23,29,79.3,5,39,44,24,3,6,13,18,-17
MIL,NOP,L,240,100,38,82,46.3,14,39,35.9,10,19,52.6,5,41,46,21,1,4,14,25,-7,107,36,91,39.6,8,32,25,27,34,79.4,11,37,48,22,11,5,7,19,7
ATL,BOS,W,265,123,51,104,49,15,44,34.1,6,10,60,17,36,53,24,5,5,11,17,1,122,45,94,47.9,14,36,38.9,18,21,85.7,9,34,43,28,7,6,12,15,-1
MEM,LAL,L,240,124,46,97,47.4,17,43,39.5,15,19,78.9,13,26,39,30,10,3,14,23,-12,136,45,81,55.6,18,33,54.5,28,35,80,4,39,43,31,5,4,16,19,12
HOU,OKC,W,265,132,50,104,48.1,15,43,34.9,17,23,73.9,16,34,50,25,10,3,16,24,6,126,47,96,49,14,38,36.8,18,24,75,13,36,49,26,7,7,19,24,-6
SAS,UTA,W,240,118,44,86,51.2,16,33,48.5,14,21,66.7,9,32,41,40,9,7,21,21,7,111,39,83,47,13,35,37.1,20,22,90.9,6,30,36,25,8,4,22,16,-7
PHX,DEN,W,240,104,39,83,47,16,33,48.5,10,11,90.9,12,39,51,29,3,7,17,13,7,97,38,88,43.2,10,40,25,11,12,91.7,9,29,38,24,9,4,8,13,-7
DET,MIN,L,240,91,31,81,38.3,9,32,28.1,20,25,80,10,31,41,15,9,1,12,14,-15,106,42,82,51.2,11,36,30.6,11,16,68.8,9,31,40,28,8,3,12,17,15
IND,CHI,L,240,99,34,85,40,13,42,31,18,23,78.3,12,28,40,25,3,4,13,23,-26,125,49,98,50,12,27,44.4,15,18,83.3,13,41,54,28,7,5,8,19,26
PHI,LAC,L,240,107,39,82,47.6,13,33,39.4,16,19,84.2,10,41,51,17,3,11,12,18,-1,108,40,90,44.4,14,36,38.9,14,20,70,11,32,43,28,8,5,8,16,1
TOR,NYK,L,240,101,39,84,46.4,11,31,35.5,12,13,92.3,11,17,28,31,7,4,18,17,-44,145,55,94,58.5,22,44,50,13,16,81.3,15,27,42,37,7,8,11,17,44
ATL,POR,W,240,120,44,85,51.8,16,41,39,16,20,80,8,33,41,23,12,9,17,17,14,106,43,85,50.6,14,31,45.2,6,10,60,6,27,33,35,8,2,19,18,-14
BKN,WAS,W,265,122,47,98,48,10,33,30.3,18,23,78.3,10,35,45,24,8,9,8,16,3,119,46,91,50.5,14,34,41.2,13,17,76.5,5,39,44,26,4,4,14,21,-3
GSW,ORL,W,240,101,40,90,44.4,10,34,29.4,11,13,84.6,12,40,52,26,5,5,13,18,8,93,36,85,42.4,10,32,31.3,11,21,52.4,10,29,39,25,10,5,11,13,-8
CLE,CHA,L,240,111,42,85,49.4,19,44,43.2,8,14,57.1,9,23,32,33,7,1,15,21,-7,118,44,76,57.9,13,33,39.4,17,22,77.3,8,30,38,30,8,2,16,14,7
MIA,GSW,L,240,92,37,92,40.2,8,33,24.2,10,13,76.9,11,28,39,24,3,2,9,9,-21,113,47,85,55.3,13,38,34.2,6,10,60,7,36,43,31,6,5,12,20,21
NOP,OKC,L,240,112,39,86,45.3,14,38,36.8,20,23,87,5,32,37,26,7,2,10,18,-7,119,46,86,53.5,15,34,44.1,12,14,85.7,7,38,45,28,5,3,12,17,7
MIL,LAL,L,290,124,49,119,41.2,15,51,29.4,11,17,64.7,15,46,61,37,9,5,14,26,-4,128,42,108,38.9,14,44,31.8,30,32,93.8,15,54,69,30,4,8,17,13,4
DAL,SAC,W,240,132,51,92,55.4,22,39,56.4,8,13,61.5,5,44,49,34,10,4,9,18,36,96,35,90,38.9,11,30,36.7,15,19,78.9,11,31,42,27,6,5,14,15,-36
MEM,DEN,L,240,103,37,94,39.4,11,44,25,18,27,66.7,17,23,40,25,9,9,17,15,-25,128,48,90,53.3,15,32,46.9,17,18,94.4,15,35,50,38,10,7,16,23,25
IND,LAC,W,240,133,50,86,58.1,17,28,60.7,16,22,72.7,7,27,34,28,7,3,8,21,17,116,46,85,54.1,6,20,30,18,22,81.8,11,25,36,26,4,4,10,19,-17
SAC,PHI,W,240,108,38,86,44.2,10,38,26.3,22,28,78.6,11,29,40,25,6,6,8,18,12,96,34,82,41.5,11,34,32.4,17,20,85,15,32,47,18,2,4,15,25,-12
HOU,POR,W,240,110,37,93,39.8,12,39,30.8,24,25,96,13,32,45,19,7,7,9,16,18,92,36,87,41.4,7,33,21.2,13,15,86.7,10,34,44,14,5,6,17,25,-18
DAL,UTA,W,240,115,44,92,47.8,12,42,28.6,15,18,83.3,10,37,47,31,9,7,6,17,10,105,37,87,42.5,13,39,33.3,18,22,81.8,11,35,46,28,6,3,13,15,-10
WAS,CHI,W,240,107,39,97,40.2,14,49,28.6,15,18,83.3,14,38,52,32,8,5,14,21,2,105,36,87,41.4,10,35,28.6,23,28,82.1,9,37,46,27,9,8,12,14,-2
SAS,PHX,W,240,104,40,91,44,8,31,25.8,16,19,84.2,5,35,40,23,10,1,7,15,2,102,42,83,50.6,10,28,35.7,8,14,57.1,5,42,47,28,5,7,15,14,-2
DET,NYK,L,240,99,34,88,38.6,10,34,29.4,21,22,95.5,7,30,37,22,8,5,12,22,-25,124,45,89,50.6,19,46,41.3,15,22,68.2,12,40,52,30,6,6,14,18,25
BOS,ATL,L,240,118,47,95,49.5,11,38,28.9,13,19,68.4,12,26,38,21,7,8,9,16,-2,120,46,87,52.9,18,36,50,10,17,58.8,15,29,44,30,5,3,13,18,2
TOR,BKN,L,240,88,37,85,43.5,5,27,18.5,9,12,75,8,22,30,23,10,2,10,15,-8,96,37,81,45.7,9,39,23.1,13,18,72.2,16,34,50,20,3,4,20,16,8
CHA,CLE,L,240,92,34,80,42.5,9,28,32.1,15,18,83.3,6,27,33,22,5,4,12,13,-23,115,46,86,53.5,17,41,41.5,6,10,60,9,38,47,41,4,3,14,15,23
GSW,MIN,L,240,110,38,85,44.7,14,36,38.9,20,26,76.9,7,34,41,23,8,3,13,19,-4,114,40,84,47.6,21,40,52.5,13,18,72.2,7,37,44,30,9,5,16,17,4
IND,LAL,L,240,145,59,107,55.1,18,36,50,9,16,56.3,10,30,40,39,6,4,11,31,-5,150,50,89,56.2,12,25,48,38,43,88.4,8,33,41,28,6,7,10,14,5
CLE,MIA,L,240,84,30,72,41.7,9,29,31,15,20,75,4,26,30,24,3,3,17,16,-37,121,43,83,51.8,15,38,39.5,20,23,87,9,35,44,29,13,0,12,17,37
LAC,PHI,L,240,107,40,83,48.2,10,28,35.7,17,18,94.4,10,27,37,27,2,9,14,11,-14,121,48,90,53.3,18,37,48.6,7,9,77.8,12,25,37,32,7,10,8,18,14
DET,NOP,L,240,101,32,79,40.5,11,41,26.8,26,32,81.3,10,36,46,20,4,5,17,25,-13,114,41,81,50.6,11,34,32.4,21,31,67.7,6,35,41,27,8,7,10,22,13
