TEAM,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-
Chicago Bulls,39,43,0.476,48.7,112.3,42,89.5,47,11.5,32.1,35.8,16.7,21.1,79.1,11.2,32.6,43.8,25,12.2,7.8,4.8,18.8,-1.4
Atlanta Hawks,36,46,0.439,48.4,118.3,43,92.5,46.5,13.7,37.7,36.4,18.5,23.2,79.7,12.5,32.2,44.7,26.6,13.5,7.5,4.5,18.6,-2.2
Brooklyn Nets,32,50,0.39,48.3,110.4,40.7,89.1,45.6,13.3,36.7,36.2,15.8,20.9,75.6,11.4,32.6,44.1,25.6,13.1,6.8,5.2,18.5,-2.9
Utah Jazz,31,51,0.378,48.3,115.7,42,89.9,46.7,12.9,36.5,35.4,18.8,22.6,83,12.2,33.2,45.5,27.2,15.7,6.5,5.6,18.6,-4.9
Memphis Grizzlies,27,55,0.329,48.2,105.8,38.4,88.2,43.5,13.1,37.8,34.6,16,21,76.4,10.9,31.7,42.6,24.7,15.1,8.2,6.1,19.1,-7
Toronto Raptors,25,57,0.305,48.3,112.4,42.3,89.7,47.1,11.5,33.1,34.7,16.3,21.6,75.6,10.9,31.8,42.7,28.5,14,7.7,4.7,18.4,-6.4
San Antonio Spurs,22,60,0.268,48.4,112.1,41.9,90.7,46.2,12.6,36.4,34.7,15.6,20,78.2,10.4,33.9,44.2,29.9,15.1,7.1,6.3,17.2,-6.5
Charlotte Hornets,21,61,0.256,48.1,106.6,40,87,46,12.1,34,35.5,14.5,18.4,78.6,9.3,31,40.3,24.8,13.8,6.9,4.5,18,-10.2
Portland Trail Blazers,21,61,0.256,48.5,106.4,39.4,89.7,43.9,11.5,33.2,34.5,16.2,20.5,79.1,12.6,30.1,42.7,23.1,15.2,7.6,4.3,20.2,-9
Washington Wizards,15,67,0.183,48.1,113.7,43,91.4,47,12.4,35.5,34.8,15.4,20.2,76.4,9.2,31.9,41.1,27.9,14,7.6,5.1,20,-9.3
Detroit Pistons,14,68,0.171,48.2,109.9,40.9,88.2,46.3,11,31.7,34.8,17,21.7,78.5,10.5,32.8,43.3,25.5,15.2,6.5,4.7,20.6,-9.1
