TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS vs. OKC,02/29/2024,W,240,132,48,91,52.7,19,39,48.7,17,20,85,11,34,45,39,6,8,12,20,14,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL @ BKN,02/29/2024,L,240,97,37,86,43,8,28,28.6,15,21,71.4,8,31,39,18,3,8,14,14,-27,,,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN vs. ATL,02/29/2024,W,240,124,46,90,51.1,22,46,47.8,10,13,76.9,8,35,43,30,6,4,10,16,27,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL vs. UTA,02/29/2024,W,240,115,42,77,54.5,10,30,33.3,21,31,67.7,10,35,45,27,9,6,15,20,8,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA @ ORL,02/29/2024,L,240,107,34,80,42.5,16,37,43.2,23,28,82.1,7,30,37,25,8,1,13,22,-8,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL @ CHA,02/29/2024,W,240,111,39,86,45.3,16,39,41,17,20,85,8,36,44,21,9,3,8,18,12,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA vs. MIL,02/29/2024,L,240,99,36,82,43.9,12,39,30.8,15,20,75,9,33,42,24,3,3,13,18,-12,,,,,,,,,,,,,,,,,,,,,,,,,
GSW,GSW @ NYK,02/29/2024,W,240,110,44,98,44.9,14,44,31.8,8,16,50,16,37,53,26,8,5,11,19,11,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK vs. GSW,02/29/2024,L,240,99,35,95,36.8,12,39,30.8,17,24,70.8,17,39,56,23,7,3,13,15,-11,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,WAS @ LAL,02/29/2024,L,265,131,52,102,51,17,41,41.5,10,12,83.3,10,35,45,35,6,6,15,19,-3,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC @ SAS,02/29/2024,L,240,118,44,89,49.4,9,31,29,21,22,95.5,7,30,37,20,6,2,11,15,-14,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU @ PHX,02/29/2024,L,240,105,33,99,33.3,11,45,24.4,28,31,90.3,19,39,58,14,8,5,13,29,-5,,,,,,,,,,,,,,,,,,,,,,,,,
PHX,PHX vs. HOU,02/29/2024,W,240,110,36,89,40.4,13,37,35.1,25,37,67.6,14,37,51,20,6,6,14,21,5,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,MIA @ DEN,02/29/2024,L,240,97,35,83,42.2,7,26,26.9,20,24,83.3,9,36,45,21,10,1,15,16,-6,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,DEN vs. MIA,02/29/2024,W,240,103,36,84,42.9,12,34,35.3,19,21,90.5,9,32,41,22,10,8,15,23,6,,,,,,,,,,,,,,,,,,,,,,,,,
LAL,LAL vs. WAS,02/29/2024,W,265,134,53,101,52.5,8,23,34.8,20,24,83.3,7,38,45,30,6,6,11,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,NOP @ IND,02/28/2024,L,240,114,42,90,46.7,11,29,37.9,19,23,82.6,7,33,40,26,2,4,10,12,-9,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR vs. DAL,02/28/2024,L,240,125,46,98,46.9,13,35,37.1,20,30,66.7,12,32,44,34,11,3,12,21,-11,,,,,,,,,,,,,,,,,,,,,,,,,
DAL,DAL @ TOR,02/28/2024,W,240,136,52,96,54.2,15,43,34.9,17,21,81,11,39,50,32,7,10,16,20,11,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN vs. MEM,02/28/2024,W,240,110,39,79,49.4,14,35,40,18,22,81.8,5,34,39,29,4,13,14,19,9,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND vs. NOP,02/28/2024,W,240,123,50,102,49,14,38,36.8,9,9,100,14,36,50,34,5,9,10,21,9,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,MEM @ MIN,02/28/2024,L,240,101,36,93,38.7,11,37,29.7,18,20,90,17,33,50,23,8,5,15,22,-9,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI vs. CLE,02/28/2024,W,290,132,44,110,40,13,37,35.1,31,38,81.6,25,49,74,29,6,8,19,18,9,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,CLE @ CHI,02/28/2024,L,290,123,45,104,43.3,22,54,40.7,11,19,57.9,5,34,39,37,7,11,12,25,-9,,,,,,,,,,,,,,,,,,,,,,,,,
SAC,SAC @ DEN,02/28/2024,L,240,96,38,95,40,12,35,34.3,8,13,61.5,15,28,43,28,8,5,14,14,-21,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,DEN vs. SAC,02/28/2024,W,240,117,46,86,53.5,15,35,42.9,10,11,90.9,5,38,43,35,10,6,16,17,21,,,,,,,,,,,,,,,,,,,,,,,,,
LAL,LAL @ LAC,02/28/2024,W,240,116,47,86,54.7,14,36,38.9,8,10,80,8,31,39,28,6,5,17,12,4,,,,,,,,,,,,,,,,,,,,,,,,,
LAC,LAC vs. LAL,02/28/2024,L,240,112,45,89,50.6,10,37,27,12,16,75,9,27,36,29,10,1,14,17,-4,,,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN @ ORL,02/27/2024,L,240,81,31,79,39.2,8,31,25.8,11,14,78.6,9,26,35,18,10,1,22,22,-27,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA @ ATL,02/27/2024,L,240,97,35,94,37.2,11,38,28.9,16,19,84.2,12,31,43,24,11,4,18,15,-27,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL vs. UTA,02/27/2024,W,240,124,46,93,49.5,12,32,37.5,20,23,87,15,40,55,27,8,8,18,15,27,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU @ OKC,02/27/2024,L,240,95,37,95,38.9,9,39,23.1,12,18,66.7,12,34,46,22,5,8,15,16,-17,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC vs. HOU,02/27/2024,W,240,112,44,93,47.3,10,27,37,14,18,77.8,12,43,55,19,7,8,15,14,17,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,MIA @ POR,02/27/2024,W,240,106,37,70,52.9,14,26,53.8,18,26,69.2,6,28,34,29,8,8,20,19,10,,,,,,,,,,,,,,,,,,,,,,,,,
POR,POR vs. MIA,02/27/2024,L,240,96,35,86,40.7,10,31,32.3,16,19,84.2,15,25,40,24,9,4,18,25,-10,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET @ CHI,02/27/2024,W,240,105,37,75,49.3,14,37,37.8,17,23,73.9,8,39,47,22,3,8,20,19,10,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI vs. DET,02/27/2024,L,240,95,39,98,39.8,2,29,6.9,15,18,83.3,15,24,39,22,11,3,6,18,-10,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS @ MIN,02/27/2024,L,240,105,39,82,47.6,16,41,39,11,15,73.3,7,34,41,28,9,7,23,15,-9,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN vs. SAS,02/27/2024,W,240,114,43,93,46.2,13,31,41.9,15,17,88.2,11,35,46,28,16,8,14,14,9,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA @ MIL,02/27/2024,L,240,85,30,81,37,11,40,27.5,14,17,82.4,5,32,37,24,6,2,13,16,-38,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL vs. CHA,02/27/2024,W,240,123,46,89,51.7,16,40,40,15,18,83.3,11,40,51,29,7,3,10,17,38,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS vs. PHI,02/27/2024,W,240,117,39,74,52.7,5,22,22.7,34,37,91.9,9,47,56,21,7,9,14,16,18,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,PHI @ BOS,02/27/2024,L,240,99,37,94,39.4,14,42,33.3,11,12,91.7,8,20,28,20,6,5,10,23,-18,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,WAS vs. GSW,02/27/2024,L,240,112,46,93,49.5,12,35,34.3,8,10,80,11,30,41,34,5,5,21,12,-11,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL vs. BKN,02/27/2024,W,240,108,39,74,52.7,9,25,36,21,25,84,5,33,38,20,14,2,19,22,27,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,NOP @ NYK,02/27/2024,W,240,115,39,77,50.6,18,34,52.9,19,23,82.6,10,34,44,23,4,5,15,21,23,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK vs. NOP,02/27/2024,L,240,92,31,83,37.3,14,46,30.4,16,23,69.6,13,25,38,27,6,5,13,20,-23,,,,,,,,,,,,,,,,,,,,,,,,,
DAL,DAL @ CLE,02/27/2024,L,240,119,48,91,52.7,14,33,42.4,9,15,60,5,31,36,23,11,6,5,12,-2,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,CLE vs. DAL,02/27/2024,W,240,121,44,83,53,20,40,50,13,18,72.2,9,38,47,35,2,4,16,12,2,,,,,,,,,,,,,,,,,,,,,,,,,
GSW,GSW @ WAS,02/27/2024,W,240,123,47,94,50,21,46,45.7,8,11,72.7,9,35,44,39,12,6,19,11,11,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND vs. TOR,02/26/2024,L,240,122,46,100,46,13,42,31,17,23,73.9,13,30,43,27,8,5,10,19,-8,,,,,,,,,,,,,,,,,,,,,,,,,
SAC,SAC vs. MIA,02/26/2024,L,240,110,45,85,52.9,13,32,40.6,7,12,58.3,11,30,41,30,10,5,15,20,-11,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,MIA @ SAC,02/26/2024,W,240,121,45,87,51.7,11,30,36.7,20,25,80,10,29,39,27,12,3,11,12,11,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,MEM vs. BKN,02/26/2024,L,240,86,29,75,38.7,7,26,26.9,21,26,80.8,8,32,40,16,6,4,15,13,-25,,,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN @ MEM,02/26/2024,W,240,111,44,90,48.9,15,42,35.7,8,14,57.1,12,34,46,32,5,5,10,24,25,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK vs. DET,02/26/2024,W,240,113,41,92,44.6,15,39,38.5,16,21,76.2,15,29,44,31,9,4,14,16,2,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET @ NYK,02/26/2024,L,240,111,38,79,48.1,14,30,46.7,21,26,80.8,10,32,42,25,9,6,17,15,-2,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR @ IND,02/26/2024,W,240,130,53,96,55.2,12,28,42.9,12,17,70.6,12,33,45,35,4,7,12,17,8,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,CLE @ WAS,02/25/2024,W,240,114,42,83,50.6,10,32,31.3,20,27,74.1,6,41,47,35,6,6,11,16,9,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,WAS vs. CLE,02/25/2024,L,240,105,40,90,44.4,12,40,30,13,18,72.2,4,36,40,29,6,2,9,22,-9,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,DEN @ GSW,02/25/2024,W,240,119,43,88,48.9,11,32,34.4,22,26,84.6,12,33,45,29,10,5,10,20,16,,,,,,,,,,,,,,,,,,,,,,,,,
LAC,LAC vs. SAC,02/25/2024,L,240,107,40,82,48.8,8,27,29.6,19,20,95,10,29,39,23,7,2,16,14,-16,,,,,,,,,,,,,,,,,,,,,,,,,
LAL,LAL @ PHX,02/25/2024,L,240,113,47,90,52.2,15,35,42.9,4,8,50,3,31,34,28,7,4,12,14,-10,,,,,,,,,,,,,,,,,,,,,,,,,
PHX,PHX vs. LAL,02/25/2024,W,240,123,44,93,47.3,17,40,42.5,18,19,94.7,14,37,51,32,6,9,15,12,10,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL vs. ORL,02/25/2024,W,240,109,41,90,45.6,12,29,41.4,15,17,88.2,9,35,44,31,10,3,10,17,17,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL @ ATL,02/25/2024,L,240,92,35,84,41.7,14,38,36.8,8,18,44.4,14,37,51,23,7,9,20,19,-17,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL @ PHI,02/25/2024,W,240,119,43,79,54.4,18,37,48.6,15,18,83.3,7,40,47,32,6,10,19,13,21,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,PHI vs. MIL,02/25/2024,L,240,98,36,97,37.1,16,46,34.8,10,11,90.9,13,28,41,24,12,5,10,18,-21,,,,,,,,,,,,,,,,,,,,,,,,,
DAL,DAL @ IND,02/25/2024,L,240,111,41,87,47.1,14,31,45.2,15,21,71.4,8,30,38,15,9,4,16,13,-22,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND vs. DAL,02/25/2024,W,240,133,52,93,55.9,14,36,38.9,15,17,88.2,6,40,46,38,12,0,15,16,22,,,,,,,,,,,,,,,,,,,,,,,,,
GSW,GSW vs. DEN,02/25/2024,L,240,103,35,81,43.2,11,34,32.4,22,29,75.9,11,31,42,27,5,3,17,18,-16,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI @ NOP,02/25/2024,W,240,114,41,95,43.2,13,40,32.5,19,21,90.5,12,37,49,29,12,0,11,15,8,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,NOP vs. CHI,02/25/2024,L,240,106,40,88,45.5,16,41,39,10,14,71.4,12,37,49,25,5,7,19,17,-8,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC @ HOU,02/25/2024,W,240,123,46,97,47.4,17,35,48.6,14,15,93.3,10,38,48,30,12,8,12,22,13,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU vs. OKC,02/25/2024,L,240,110,38,93,40.9,16,41,39,18,23,78.3,13,37,50,18,6,7,18,16,-13,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA vs. SAS,02/25/2024,W,240,128,46,90,51.1,17,35,48.6,19,22,86.4,5,33,38,36,13,8,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS @ UTA,02/25/2024,L,240,109,42,91,46.2,13,31,41.9,12,19,63.2,10,36,46,34,8,11,20,17,-19,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA @ POR,02/25/2024,W,240,93,37,75,49.3,7,24,29.2,12,17,70.6,4,37,41,24,12,6,19,12,13,,,,,,,,,,,,,,,,,,,,,,,,,
POR,POR vs. CHA,02/25/2024,L,240,80,33,95,34.7,3,32,9.4,11,16,68.8,22,34,56,14,11,4,16,16,-13,,,,,,,,,,,,,,,,,,,,,,,,,
SAC,SAC @ LAC,02/25/2024,W,240,123,45,91,49.5,15,37,40.5,18,22,81.8,14,27,41,29,10,1,10,15,16,,,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN @ MIN,02/24/2024,L,240,86,35,104,33.7,6,35,17.1,10,11,90.9,16,40,56,20,7,2,11,17,-15,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN vs. BKN,02/24/2024,W,240,101,36,84,42.9,12,38,31.6,17,23,73.9,6,45,51,22,6,9,13,14,15,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS @ NYK,02/24/2024,W,240,116,46,81,56.8,15,35,42.9,9,12,75,11,25,36,27,8,4,7,16,14,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK vs. BOS,02/24/2024,L,240,102,37,82,45.1,13,38,34.2,15,16,93.8,15,24,39,21,1,3,14,15,-14,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL @ DET,02/24/2024,W,240,112,43,87,49.4,12,24,50,14,21,66.7,13,33,46,25,9,9,13,15,3,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET vs. ORL,02/24/2024,L,240,109,43,85,50.6,14,31,45.2,9,13,69.2,7,29,36,29,7,7,12,21,-3,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS @ LAL,02/23/2024,L,240,118,42,96,43.8,15,38,39.5,19,23,82.6,16,31,47,33,9,7,14,14,-5,,,,,,,,,,,,,,,,,,,,,,,,,
LAL,LAL vs. SAS,02/23/2024,W,240,123,49,95,51.6,11,27,40.7,14,18,77.8,10,36,46,28,7,4,13,18,5,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA @ GSW,02/23/2024,L,240,84,32,88,36.4,11,39,28.2,9,11,81.8,13,30,43,21,13,6,19,15,-13,,,,,,,,,,,,,,,,,,,,,,,,,
GSW,GSW vs. CHA,02/23/2024,W,240,97,38,89,42.7,13,42,31,8,10,80,13,40,53,28,7,7,22,15,13,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL @ MIN,02/23/2024,W,240,112,41,87,47.1,13,37,35.1,17,25,68,11,36,47,24,10,4,10,18,5,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN vs. MIL,02/23/2024,L,240,107,43,98,43.9,13,35,37.1,8,13,61.5,16,36,52,23,8,4,14,18,-5,,,,,,,,,,,,,,,,,,,,,,,,,
POR,POR vs. DEN,02/23/2024,L,240,112,46,101,45.5,8,25,32,12,18,66.7,19,26,45,25,11,2,11,17,-15,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,DEN @ POR,02/23/2024,W,240,127,50,85,58.8,13,33,39.4,14,22,63.6,11,34,45,38,8,6,13,17,15,,,,,,,,,,,,,,,,,,,,,,,,,
PHX,PHX @ HOU,02/23/2024,L,240,110,38,95,40,7,31,22.6,27,35,77.1,19,39,58,23,10,8,10,20,-4,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU vs. PHX,02/23/2024,W,240,114,37,93,39.8,15,45,33.3,25,34,73.5,17,37,54,25,8,5,14,23,4,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,NOP vs. MIA,02/23/2024,L,240,95,39,104,37.5,7,32,21.9,10,13,76.9,18,36,54,20,6,7,11,19,-11,,,,,,,,,,,,,,,,,,,,,,,,,
MIA,MIA @ NOP,02/23/2024,W,240,106,38,82,46.3,13,29,44.8,17,25,68,10,36,46,20,6,11,15,14,11,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,MEM vs. LAC,02/23/2024,L,240,95,38,91,41.8,8,35,22.9,11,16,68.8,14,27,41,26,12,3,13,17,-6,,,,,,,,,,,,,,,,,,,,,,,,,
LAC,LAC @ MEM,02/23/2024,W,240,101,37,84,44,12,32,37.5,15,17,88.2,14,37,51,20,7,2,21,20,6,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,WAS @ OKC,02/23/2024,L,240,106,41,104,39.4,9,38,23.7,15,21,71.4,16,27,43,20,10,3,16,17,-41,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC vs. WAS,02/23/2024,W,240,147,55,92,59.8,20,40,50,17,21,81,8,48,56,30,5,9,15,22,41,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,PHI vs. CLE,02/23/2024,W,240,104,40,90,44.4,12,29,41.4,12,15,80,9,42,51,20,6,7,10,25,7,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,CLE @ PHI,02/23/2024,L,240,97,34,80,42.5,8,27,29.6,21,31,67.7,5,38,43,24,5,8,11,15,-7,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL vs. TOR,02/23/2024,L,240,121,46,106,43.4,12,39,30.8,17,24,70.8,20,34,54,27,5,4,9,11,-2,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR @ ATL,02/23/2024,W,240,123,50,102,49,15,39,38.5,8,8,100,11,36,47,37,3,7,12,20,2,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND vs. DET,02/22/2024,W,240,129,50,94,53.2,13,30,43.3,16,19,84.2,7,35,42,36,10,5,14,15,14,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET @ IND,02/22/2024,L,240,115,47,89,52.8,12,30,40,9,18,50,6,35,41,27,6,4,15,21,-14,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,CLE vs. ORL,02/22/2024,L,240,109,39,70,55.7,10,22,45.5,21,26,80.8,7,26,33,31,8,5,19,18,-7,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL @ CLE,02/22/2024,W,240,116,43,84,51.2,14,25,56,16,18,88.9,10,23,33,26,8,3,13,23,7,,,,,,,,,,,,,,,,,,,,,,,,,
PHI,PHI vs. NYK,02/22/2024,L,240,96,37,84,44,10,29,34.5,12,14,85.7,7,31,38,23,7,3,18,23,-14,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK @ PHI,02/22/2024,W,240,110,38,79,48.1,15,34,44.1,19,27,70.4,12,33,45,24,11,6,18,13,14,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR vs. BKN,02/22/2024,W,240,121,41,84,48.8,14,31,45.2,25,30,83.3,7,38,45,24,10,6,11,18,28,,,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN @ TOR,02/22/2024,L,240,93,33,80,41.3,11,37,29.7,16,22,72.7,6,33,39,19,7,2,20,24,-28,,,,,,,,,,,,,,,,,,,,,,,,,
PHX,PHX @ DAL,02/22/2024,L,240,113,40,83,48.2,15,36,41.7,18,24,75,11,30,41,20,7,4,16,21,-10,,,,,,,,,,,,,,,,,,,,,,,,,
DAL,DAL vs. PHX,02/22/2024,W,240,123,43,90,47.8,19,44,43.2,18,21,85.7,10,29,39,24,10,5,10,21,10,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI vs. BOS,02/22/2024,L,240,112,44,94,46.8,10,28,35.7,14,16,87.5,13,32,45,30,6,2,13,17,-17,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS @ CHI,02/22/2024,W,240,129,45,83,54.2,23,47,48.9,16,21,76.2,5,31,36,27,10,11,14,16,17,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU @ NOP,02/22/2024,L,240,105,36,82,43.9,15,41,36.6,18,28,64.3,12,32,44,27,6,5,24,18,-22,,,,,,,,,,,,,,,,,,,,,,,,,
NOP,NOP vs. HOU,02/22/2024,W,240,127,50,96,52.1,16,41,39,11,18,61.1,9,34,43,35,16,6,14,21,22,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA @ UTA,02/22/2024,W,240,115,40,92,43.5,20,42,47.6,15,22,68.2,12,30,42,28,11,3,10,23,8,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA vs. CHA,02/22/2024,L,240,107,37,86,43,9,39,23.1,24,27,88.9,15,39,54,26,3,2,19,21,-8,,,,,,,,,,,,,,,,,,,,,,,,,
LAC,LAC @ OKC,02/22/2024,L,240,107,42,93,45.2,12,32,37.5,11,13,84.6,11,31,42,27,6,2,14,15,-22,,,,,,,,,,,,,,,,,,,,,,,,,
OKC,OKC vs. LAC,02/22/2024,W,240,129,50,90,55.6,17,35,48.6,12,17,70.6,8,36,44,24,9,11,15,16,22,,,,,,,,,,,,,,,,,,,,,,,,,
WAS,WAS @ DEN,02/22/2024,L,240,110,40,104,38.5,17,38,44.7,13,23,56.5,14,26,40,30,14,1,14,15,-20,,,,,,,,,,,,,,,,,,,,,,,,,
DEN,DEN vs. WAS,02/22/2024,W,240,130,56,101,55.4,7,31,22.6,11,15,73.3,13,47,60,41,11,11,16,16,20,,,,,,,,,,,,,,,,,,,,,,,,,
GSW,GSW vs. LAL,02/22/2024,W,240,128,50,107,46.7,16,41,39,12,14,85.7,15,33,48,32,6,4,9,19,18,,,,,,,,,,,,,,,,,,,,,,,,,
LAL,LAL @ GSW,02/22/2024,L,240,110,43,88,48.9,10,35,28.6,14,21,66.7,10,31,41,28,5,9,11,18,-18,,,,,,,,,,,,,,,,,,,,,,,,,
SAC,SAC vs. SAS,02/22/2024,W,240,127,52,93,55.9,13,33,39.4,10,14,71.4,7,35,42,29,5,6,10,12,5,,,,,,,,,,,,,,,,,,,,,,,,,
SAS,SAS @ SAC,02/22/2024,L,240,122,50,98,51,11,25,44,11,16,68.8,11,31,42,37,9,5,8,12,-5,,,,,,,,,,,,,,,,,,,,,,,,,
MIL,MIL @ MEM,02/15/2024,L,240,110,42,90,46.7,11,44,25,15,20,75,11,33,44,24,10,5,14,22,-3,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,MEM vs. MIL,02/15/2024,W,240,113,44,83,53,13,26,50,12,19,63.2,7,33,40,30,9,3,16,16,3,,,,,,,,,,,,,,,,,,,,,,,,,
GSW,GSW @ UTA,02/15/2024,W,240,140,49,92,53.3,20,42,47.6,22,28,78.6,13,28,41,42,8,6,13,19,3,,,,,,,,,,,,,,,,,,,,,,,,,
UTA,UTA vs. GSW,02/15/2024,L,240,137,43,93,46.2,22,49,44.9,29,32,90.6,17,31,48,33,10,3,16,22,-3,,,,,,,,,,,,,,,,,,,,,,,,,
MIN,MIN @ POR,02/15/2024,W,240,128,46,89,51.7,11,30,36.7,25,27,92.6,11,41,52,24,8,5,14,22,37,,,,,,,,,,,,,,,,,,,,,,,,,
POR,POR vs. MIN,02/15/2024,L,240,91,31,83,37.3,8,29,27.6,21,30,70,9,26,35,18,8,5,15,23,-37,,,,,,,,,,,,,,,,,,,,,,,,,
NYK,NYK @ ORL,02/14/2024,L,240,100,35,84,41.7,11,29,37.9,19,24,79.2,16,18,34,15,8,0,12,11,-18,,,,,,,,,,,,,,,,,,,,,,,,,
ORL,ORL vs. NYK,02/14/2024,W,240,118,48,76,63.2,12,26,46.2,10,11,90.9,7,27,34,25,7,7,12,22,18,,,,,,,,,,,,,,,,,,,,,,,,,
ATL,ATL @ CHA,02/14/2024,L,240,99,36,89,40.4,9,38,23.7,18,20,90,15,30,45,23,5,6,16,20,-23,,,,,,,,,,,,,,,,,,,,,,,,,
CHA,CHA vs. ATL,02/14/2024,W,240,122,44,89,49.4,15,37,40.5,19,20,95,12,34,46,27,7,4,13,18,23,,,,,,,,,,,,,,,,,,,,,,,,,
CLE,CLE vs. CHI,02/14/2024,W,240,108,40,83,48.2,12,37,32.4,16,21,76.2,6,30,36,31,6,2,8,18,3,,,,,,,,,,,,,,,,,,,,,,,,,
CHI,CHI @ CLE,02/14/2024,L,240,105,38,83,45.8,14,33,42.4,15,17,88.2,9,35,44,18,5,3,15,21,-3,,,,,,,,,,,,,,,,,,,,,,,,,
TOR,TOR vs. IND,02/14/2024,L,240,125,50,98,51,6,26,23.1,19,26,73.1,15,41,56,30,6,7,15,20,-2,,,,,,,,,,,,,,,,,,,,,,,,,
IND,IND @ TOR,02/14/2024,W,240,127,47,97,48.5,17,41,41.5,16,23,69.6,9,30,39,32,9,9,8,20,2,,,,,,,,,,,,,,,,,,,,,,,,,
HOU,HOU @ MEM,02/14/2024,L,240,113,42,102,41.2,11,36,30.6,18,28,64.3,22,34,56,20,9,4,9,25,-8,,,,,,,,,,,,,,,,,,,,,,,,,
MEM,MEM vs. HOU,02/14/2024,W,240,121,39,79,49.4,15,35,42.9,28,41,68.3,8,38,46,27,8,11,11,20,8,,,,,,,,,,,,,,,,,,,,,,,,,
BKN,BKN @ BOS,02/14/2024,L,240,86,31,81,38.3,10,31,32.3,14,15,93.3,6,25,31,27,5,1,12,12,-50,,,,,,,,,,,,,,,,,,,,,,,,,
BOS,BOS vs. BKN,02/14/2024,W,240,136,52,91,57.1,22,45,48.9,10,12,83.3,10,41,51,32,6,5,10,13,50,,,,,,,,,,,,,,,,,,,,,,,,,
DET,DET @ PHX,02/14/2024,L,240,100,38,99,38.4,10,37,27,14,22,63.6,16,32,48,26,14,5,19,32,-16,,,,,,,,,,,,,,,,,,,,,,,,,
