surface,player1_name,player1_ht,player1_ioc,player1_age,player2_name,player2_ht,player2_ioc,player2_age,score,best_of,round,minutes,p1_ace,p1_df,p1_svpt,p1_1stIn,p1_1st_Serve,p1_1stWon,p1_1st_Serve_won,p1_2ndWon,p1_2nd_serve_won,p1_bpSaved,p1_bpFaced,p1_breakpoint_saved,p2_ace,p2_df,p2_svpt,p2_1stIn,p2_1st_Serve,p2_1stWon,p2_1st_Serve_won,p2_2ndWon,p2_2nd_serve_won,p2_bpSaved,p2_bpFaced,p2_breakpoint_saved,winner_name
Hard,Michael Mmoh,188,USA,24.9,Manas Dhamne,,IND,,6-2 6-4,3,R32,88,3,1,49,29,59.18367347,22,75.86206897,12,60,2,3,66.66666667,0,0,59,37,62.71186441,21,56.75675676,10,45.45454545,6,10,60,Michael Mmoh
Hard,Benjamin Bonzi,185,FRA,26.5,Chun Hsin Tseng,175,TPE,21.4,6-0 6-3,3,R32,61,2,0,39,21,53.84615385,18,85.71428571,14,77.77777778,0,0,#DIV/0!,2,1,45,31,68.88888889,16,51.61290323,4,28.57142857,1,5,20,Benjamin Bonzi
Hard,Laslo Djere,188,SRB,27.5,Alex Molcan,178,SVK,25,6-2 6-4,3,R32,64,12,0,41,26,63.41463415,23,88.46153846,13,86.66666667,0,0,#DIV/0!,2,2,55,33,60,21,63.63636364,11,50,2,5,40,Laslo Djere
Hard,Maximilian Marterer,191,GER,27.5,Elias Ymer,183,SWE,26.7,6-2 3-6 6-3,3,R32,112,12,1,65,41,63.07692308,33,80.48780488,13,54.16666667,0,2,0,5,2,84,47,55.95238095,30,63.82978723,19,51.35135135,2,6,33.33333333,Maximilian Marterer
Hard,Flavio Cobolli,,ITA,20.6,Sasi Kumar Mukund,185,IND,25.9,6-4 7-5,3,R32,98,6,2,65,36,55.38461538,29,80.55555556,12,41.37931034,6,9,66.66666667,1,1,67,44,65.67164179,27,61.36363636,7,30.43478261,5,10,50,Flavio Cobolli
Hard,Richard Gasquet,185,FRA,36.5,Cameron Norrie,188,GBR,27.3,4-6 6-4 6-4,3,F,147,3,2,88,44,50,36,81.81818182,21,47.72727273,6,9,66.66666667,8,2,86,52,60.46511628,36,69.23076923,17,50,4,8,50,Richard Gasquet
Hard,Richard Gasquet,185,FRA,36.5,Constant Lestienne,180,FRA,30.6,W/O,3,SF,0,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,#DIV/0!,,,,,#DIV/0!,,#DIV/0!,,#DIV/0!,,,#DIV/0!,Richard Gasquet
Hard,Cameron Norrie,188,GBR,27.3,Jenson Brooksby,188,USA,22.2,6-3 6-4,3,SF,98,3,0,48,31,64.58333333,27,87.09677419,11,64.70588235,3,4,75,4,0,73,43,58.90410959,26,60.46511628,14,46.66666667,6,9,66.66666667,Cameron Norrie
Hard,Constant Lestienne,180,FRA,30.6,Laslo Djere,188,SRB,27.6,2-6 7-6(2) 7-5,3,QF,166,5,1,118,77,65.25423729,54,70.12987013,19,46.34146341,14,18,77.77777778,8,3,109,61,55.96330275,47,77.04918033,21,43.75,2,5,40,Constant Lestienne
Hard,Richard Gasquet,185,FRA,36.5,David Goffin,180,BEL,32,1-6 6-1 6-1,3,QF,94,6,3,61,37,60.6557377,26,70.27027027,10,41.66666667,0,4,0,8,2,64,37,57.8125,20,54.05405405,9,33.33333333,7,13,53.84615385,Richard Gasquet
