name,opponent_name,winner,1st_Serve,1st_Serve_won,2nd_Serve_won,1st_Serve_Return_won,2nd_Serve_Return_won,Return_points_won
Miomir Kecmanovic,Corentin Moutet,TRUE,71.70%,72.70%,69.20%,45.90%,60.70%,52.30%
Giovanni Mpetshi Perricard,David Goffin,TRUE,71.70%,86.80%,73.30%,26.50%,43.50%,33.30%
Gregoire Barrere,Nuno Borges,TRUE,71.70%,73.70%,66.70%,37.00%,62.50%,46.50%
Hamad Medjedovic,Alexander Shevchenko,TRUE,71.70%,84.20%,60.00%,33.30%,42.10%,36.10%
Dusan Lajovic,Jannik Sinner,TRUE,71.60%,75.90%,52.20%,26.80%,43.60%,35.00%
Dominic Thiem,Matteo Martineau,TRUE,71.40%,80.00%,64.30%,31.60%,57.10%,40.70%
Mackenzie Mcdonald,Francisco Cerundolo,FALSE,71.40%,72.30%,46.20%,23.60%,58.30%,37.40%
Dominik Koepfer,Daniel Evans,TRUE,71.30%,71.60%,48.10%,25.80%,58.30%,37.30%
Alexander Zverev,Andrey Rublev,TRUE,71.20%,70.20%,57.90%,30.40%,63.60%,41.20%
Mackenzie Mcdonald,Milos Raonic,TRUE,71.20%,81.10%,66.70%,22.90%,70.00%,40.00%
Yoshihito Nishioka,Jan Lennard Struff,TRUE,71.00%,84.10%,55.60%,24.30%,63.60%,39.00%
Maximilian Marterer,Hugo Gaston,TRUE,70.80%,91.20%,57.10%,25.90%,64.70%,40.90%
Fabian Marozsan,Casper Ruud,TRUE,70.80%,72.50%,45.50%,26.80%,58.50%,37.40%
Zhizhen Zhang,Tomas Martin Etcheverry,TRUE,70.80%,74.60%,53.80%,25.50%,42.30%,31.20%
Tallon Griekspoor,Alex De Minaur,TRUE,70.70%,75.60%,58.80%,34.90%,52.40%,40.60%
Jiri Lehecka,Jeffrey John Wolf,TRUE,70.60%,72.20%,80.00%,27.80%,60.00%,42.40%
Jannik Sinner,Marcos Giron,TRUE,70.50%,79.10%,55.60%,29.50%,70.60%,47.40%
Felix Auger Aliassime,Botic Van De Zandschulp,TRUE,70.40%,76.30%,50.00%,35.50%,56.50%,44.40%
Jiri Lehecka,Egor Gerasimov,TRUE,70.30%,80.00%,63.20%,31.60%,50.00%,38.70%
John Isner,Rinky Hijikata,TRUE,70.30%,75.60%,57.90%,37.00%,54.50%,44.30%
Pavel Kotov,Tallon Griekspoor,TRUE,70.30%,69.20%,59.10%,28.20%,54.20%,38.10%
Marton Fucsovics,Francisco Cerundolo,FALSE,70.20%,71.20%,52.00%,22.70%,66.70%,35.50%
Hubert Hurkacz,Zhizhen Zhang,TRUE,70.20%,87.90%,50.00%,29.50%,45.00%,34.70%
Yibing Wu,Corentin Moutet,TRUE,70.20%,85.00%,47.10%,38.30%,47.10%,40.60%
Felix Auger Aliassime,Jan Lennard Struff,TRUE,70.10%,87.20%,50.00%,30.80%,46.90%,36.90%
Mackenzie Mcdonald,Juncheng Shang,TRUE,70.00%,81.00%,48.10%,22.60%,53.50%,36.50%
Roberto Bautista Agut,Miomir Kecmanovic,TRUE,70.00%,70.20%,61.10%,23.30%,57.10%,35.60%
Stefanos Tsitsipas,Yannick Hanfmann,TRUE,70.00%,80.00%,66.70%,35.30%,46.70%,38.80%
Hubert Hurkacz,Dusan Lajovic,TRUE,69.90%,80.40%,45.50%,35.40%,44.40%,37.90%
Thanasi Kokkinakis,Fabio Fognini,TRUE,69.80%,83.80%,50.00%,33.30%,53.30%,38.90%
Arthur Fils,Juan Pablo Varillas Patino Samudio,TRUE,69.80%,80.00%,76.90%,31.80%,68.80%,47.40%
Stefanos Tsitsipas,Borna Coric,TRUE,69.80%,86.70%,76.90%,37.00%,66.70%,47.60%
Zhizhen Zhang,Richard Gasquet,TRUE,69.70%,95.70%,60.00%,55.30%,58.80%,56.40%
Hubert Hurkacz,Alexei Popyrin,TRUE,69.60%,92.30%,64.70%,22.90%,44.40%,32.30%
Novak Djokovic,Jannik Sinner,TRUE,69.60%,90.60%,64.30%,42.90%,52.00%,45.90%
Dusan Lajovic,Stan Wawrinka,TRUE,69.40%,72.00%,50.00%,23.90%,65.50%,40.00%
Daniel Altmaier,Arthur Fils,TRUE,69.40%,82.40%,53.30%,30.60%,76.20%,47.40%
Fabian Marozsan,Alex De Minaur,TRUE,69.20%,73.30%,60.00%,28.60%,59.30%,41.90%
Andrey Rublev,Quentin Halys,TRUE,69.10%,92.10%,52.90%,22.00%,62.50%,36.90%
Carlos Alcaraz Garfia,Casper Ruud,TRUE,69.10%,71.10%,64.70%,38.00%,70.40%,49.40%
Jannik Sinner,Frances Tiafoe,TRUE,69.10%,84.20%,70.60%,35.50%,44.00%,39.30%
